run_accession,bioproject_accession,biosample_accession,sample_accession,total_bases,total_spots,published,platform,instrument_model,library_strategy,library_source,organism,center_name,organization_name,institution,geo_loc_name,file_size_mb,source,published_dt,year,is_saudi_submitter,is_pathogen,is_wgs,is_genomic,is_complete_genome
SRR31392346,,SAMN44806396,SRS23249504,100825309.0,167781.0,2024-11-19 03:18:02,ILLUMINA,Illumina MiSeq,AMPLICON,METAGENOMIC,human nasopharyngeal metagenome,king abdulaziz university,king abdulaziz university,King Abdulaziz University,Saudi Arabia,77.98089981079102,NCBI,2024-11-19 03:18:02,2024,True,False,False,False,False
SRR31393570,PRJNA1187828,SAMN44813888,SRS23250494,31581274.0,52572.0,2024-11-19 07:13:06,ILLUMINA,Illumina MiSeq,AMPLICON,METAGENOMIC,human nasopharyngeal metagenome,king abdulaziz university,king abdulaziz university,King Abdulaziz University,Saudi Arabia,24.485894203186035,NCBI,2024-11-19 07:13:06,2024,True,False,False,False,False
SRR31393569,PRJNA1187828,SAMN44813889,SRS23250495,109389812.0,182198.0,2024-11-19 07:13:07,ILLUMINA,Illumina MiSeq,AMPLICON,METAGENOMIC,human nasopharyngeal metagenome,king abdulaziz university,king abdulaziz university,King Abdulaziz University,Saudi Arabia,86.15924167633057,NCBI,2024-11-19 07:13:07,2024,True,False,False,False,False
SRR31393568,PRJNA1187828,SAMN44813898,SRS23250496,416370687.0,692805.0,2024-11-19 07:13:07,ILLUMINA,Illumina MiSeq,AMPLICON,METAGENOMIC,human nasopharyngeal metagenome,king abdulaziz university,king abdulaziz university,King Abdulaziz University,Saudi Arabia,323.442328453064,NCBI,2024-11-19 07:13:07,2024,True,False,False,False,False
SRR31393567,PRJNA1187828,SAMN44813899,SRS23250497,193612991.0,322145.0,2024-11-19 07:13:06,ILLUMINA,Illumina MiSeq,AMPLICON,METAGENOMIC,human nasopharyngeal metagenome,king abdulaziz university,king abdulaziz university,King Abdulaziz University,Saudi Arabia,151.1259355545044,NCBI,2024-11-19 07:13:06,2024,True,False,False,False,False
SRR31393566,PRJNA1187828,SAMN44813900,SRS23250498,91143342.0,152115.0,2024-11-19 07:13:07,ILLUMINA,Illumina MiSeq,AMPLICON,METAGENOMIC,human nasopharyngeal metagenome,king abdulaziz university,king abdulaziz university,King Abdulaziz University,Saudi Arabia,70.59239196777344,NCBI,2024-11-19 07:13:07,2024,True,False,False,False,False
SRR31393565,PRJNA1187828,SAMN44813901,SRS23250499,63071324.0,105211.0,2024-11-19 07:13:06,ILLUMINA,Illumina MiSeq,AMPLICON,METAGENOMIC,human nasopharyngeal metagenome,king abdulaziz university,king abdulaziz university,King Abdulaziz University,Saudi Arabia,48.957900047302246,NCBI,2024-11-19 07:13:06,2024,True,False,False,False,False
SRR31393564,PRJNA1187828,SAMN44813902,SRS23250500,109859975.0,182807.0,2024-11-19 07:13:08,ILLUMINA,Illumina MiSeq,AMPLICON,METAGENOMIC,human nasopharyngeal metagenome,king abdulaziz university,king abdulaziz university,King Abdulaziz University,Saudi Arabia,84.29890823364258,NCBI,2024-11-19 07:13:08,2024,True,False,False,False,False
SRR31393563,PRJNA1187828,SAMN44813903,SRS23250501,145014699.0,241363.0,2024-11-19 07:13:07,ILLUMINA,Illumina MiSeq,AMPLICON,METAGENOMIC,human nasopharyngeal metagenome,king abdulaziz university,king abdulaziz university,King Abdulaziz University,Saudi Arabia,112.1915922164917,NCBI,2024-11-19 07:13:07,2024,True,False,False,False,False
SRR31393562,PRJNA1187828,SAMN44813904,SRS23250502,32306964.0,54228.0,2024-11-19 07:13:06,ILLUMINA,Illumina MiSeq,AMPLICON,METAGENOMIC,human nasopharyngeal metagenome,king abdulaziz university,king abdulaziz university,King Abdulaziz University,Saudi Arabia,25.164294242858887,NCBI,2024-11-19 07:13:06,2024,True,False,False,False,False
SRR31393561,PRJNA1187828,SAMN44813905,SRS23250503,9493424.0,15823.0,2024-11-19 07:13:05,ILLUMINA,Illumina MiSeq,AMPLICON,METAGENOMIC,human nasopharyngeal metagenome,king abdulaziz university,king abdulaziz university,King Abdulaziz University,Saudi Arabia,7.453970909118652,NCBI,2024-11-19 07:13:05,2024,True,False,False,False,False
SRR31393560,PRJNA1187828,SAMN44813906,SRS23250504,45425429.0,75610.0,2024-11-19 07:13:05,ILLUMINA,Illumina MiSeq,AMPLICON,METAGENOMIC,human nasopharyngeal metagenome,king abdulaziz university,king abdulaziz university,King Abdulaziz University,Saudi Arabia,35.464406967163086,NCBI,2024-11-19 07:13:05,2024,True,False,False,False,False
SRR31393559,PRJNA1187828,SAMN44813907,SRS23250505,30892141.0,51493.0,2024-11-19 07:13:06,ILLUMINA,Illumina MiSeq,AMPLICON,METAGENOMIC,human nasopharyngeal metagenome,king abdulaziz university,king abdulaziz university,King Abdulaziz University,Saudi Arabia,24.040904998779297,NCBI,2024-11-19 07:13:06,2024,True,False,False,False,False
SRR31393558,PRJNA1187828,SAMN44813890,SRS23250506,151646925.0,252342.0,2024-11-19 07:13:07,ILLUMINA,Illumina MiSeq,AMPLICON,METAGENOMIC,human nasopharyngeal metagenome,king abdulaziz university,king abdulaziz university,King Abdulaziz University,Saudi Arabia,116.83549404144289,NCBI,2024-11-19 07:13:07,2024,True,False,False,False,False
SRR31393557,PRJNA1187828,SAMN44813908,SRS23250507,560609032.0,932609.0,2024-11-19 07:13:07,ILLUMINA,Illumina MiSeq,AMPLICON,METAGENOMIC,human nasopharyngeal metagenome,king abdulaziz university,king abdulaziz university,King Abdulaziz University,Saudi Arabia,436.7128028869629,NCBI,2024-11-19 07:13:07,2024,True,False,False,False,False
